batch,gen_passage_id,seed_passage_id,novel,meaningful,pragmatic,annotator_id,gen_source,ppl,WQRM_score,ai_likelihood
10,4440_olmo2,4440,0,1,1,11,olmo2,350.61630058771783,6.479419708251953,1.0
10,12432_human,12432,0,1,1,11,human,145845.95742147556,8.863977432250977,3.168980280558269e-05
10,15377_olmo2,15377,0,1,1,12,olmo2,40736.51109638112,6.236397743225098,1.0
2,16897_olmo1,16897,0,1,0,13,olmo1,686123.1872610087,6.122307300567627,1.0
7,14062_human,14062,0,1,1,2,human,216000.9255751029,8.620152473449707,0.0001072221332126
7,706_human,706,0,1,1,2,human,10385.82838983158,8.824209213256836,0.0002977583143446
10,11660_human,11660,0,1,1,21,human,199230.63266707165,8.621773719787598,6.324715084499783e-06
10,7644_human,7644,0,1,1,21,human,7998.600812076952,8.531832695007324,0.0001329183578491
10,15377_olmo2,15377,0,1,1,21,olmo2,20248.469960212817,6.236397743225098,1.0
6,15031_human,15031,0,1,1,3,human,1422.140456264628,8.800556182861328,1.7318460676405164e-05
2,17809_olmo1,17809,0,1,0,10,olmo1,540.0458983137881,5.820292472839356,1.0
2,17303_human,17303,0,1,1,10,human,191869.0276081905,8.143926620483398,7.351239522298178e-05
7,14415_olmo2,14415,0,1,1,22,olmo2,35434.37080993301,7.193365573883057,1.0
8,14415_human,14415,0,1,1,5,human,579657.2787553769,8.254592895507812,0.0001300705803765
8,11680_olmo2,11680,0,1,1,5,olmo2,12135.389045533102,5.7674479484558105,1.0
1,18037_olmo1,18037,0,1,1,21,olmo1,504.1502350828222,6.650257587432861,1.0
5,12011_human,12011,0,1,1,1,human,43133.11416375144,8.37365436553955,0.0007745954725477
8,11601_olmo2,11601,0,1,1,15,olmo2,27215.03511376434,6.544983863830566,1.0
5,15318_olmo1,15318,0,1,1,1,olmo1,391380.9312562313,6.522613525390625,1.0
9,4440_human,4440,0,1,1,8,human,73232.26245183137,8.486018180847168,0.000976456536187
4,16425_olmo1,16425,0,1,1,14,olmo1,11059.111564453038,6.530635356903076,1.0
4,13365_olmo1,13365,0,1,1,14,olmo1,455.6440404030958,5.552242279052734,1.0
8,14691_olmo2,14691,0,1,1,5,olmo2,2331.12128614751,5.546794414520264,1.0
6,12011_olmo2,12011,0,1,1,19,olmo2,2835.0304136106565,7.170212268829346,1.0
7,1305_olmo2,1305,0,1,1,24,olmo2,10099.68215645778,4.926403999328613,1.0
7,3388_olmo2,3388,0,1,1,22,olmo2,944.8737988553,6.783412933349609,1.0
3,16425_human,16425,0,1,1,7,human,17568.647618160732,8.494684219360352,4.900826348198785e-06
9,15377_human,15377,0,1,1,8,human,6139.395335460987,8.203763961791992,6.096230612860786e-05
9,3507_human,3507,1,1,1,16,human,233014.2454022597,8.583327293395996,7.351239522298178e-06
9,15377_human,15377,0,1,1,8,human,444.6000484380293,8.203763961791992,6.096230612860786e-05
9,12432_olmo2,12432,0,1,1,8,olmo2,3577.863929370152,6.178188800811768,1.0
2,17809_olmo1,17809,0,1,1,15,olmo1,100.7466510071563,5.820292472839356,1.0
5,11549_olmo1,11549,0,1,1,4,olmo1,119.61681445875924,5.903656959533691,1.0
1,18090_olmo1,18090,0,1,0,20,olmo1,634.7620214927521,6.452146530151367,1.0
6,4796_human,4796,0,1,1,18,human,928784.446257498,7.986728668212891,0.013427734375
6,8444_olmo2,8444,0,1,1,18,olmo2,9794.539778470997,6.932831287384033,1.0
6,15031_human,15031,0,1,1,3,human,341444.94098904514,8.800556182861328,1.7318460676405164e-05
2,16897_olmo1,16897,0,1,1,10,olmo1,1874.70402057138,6.122307300567627,1.0
3,13365_human,13365,0,1,1,25,human,1463.9710394018855,8.978217124938965,1.466936535305447e-05
